analysis,population,n_responder,n_non_responder,median_responder,median_non_responder,median_difference,u_statistic,p_value,rank_biserial,p_adjusted,significant
subject_average,cd4_t_cell,331,325,30.20981709190839,29.82252023625726,0.3872968556511296,59855.0,0.012422106237428324,0.11280501975366031,0.06211053118714162,False
subject_average,nk_cell,331,325,14.739688497806503,14.959829529667223,-0.2201410318607202,50081.0,0.12674471572310064,-0.0689100627469208,0.3168617893077516,False
subject_average,monocyte,331,325,19.794516307728255,20.276802878048535,-0.4822865703202801,51079.0,0.26449173372700063,-0.05035556588426682,0.43224469202296695,False
subject_average,b_cell,331,325,9.671393040785683,9.844568355749049,-0.17317531496336613,51499.0,0.34579575361837356,-0.042547060190564756,0.43224469202296695,False
subject_average,cd8_t_cell,331,325,24.896947918824413,25.009725891231607,-0.11277797240719423,52591.0,0.6221436939857599,-0.02224494538693933,0.6221436939857599,False
baseline_only,monocyte,331,325,19.6055804178746,20.286002186823318,-0.6804217689487189,50754.0,0.21138928177193006,-0.05639786195677432,0.8853281081905567,False
baseline_only,cd8_t_cell,331,325,24.39568761084873,24.60102813964531,-0.20534052879658304,52203.0,0.5139556861462278,-0.02945851731350224,0.8853281081905567,False
baseline_only,b_cell,331,325,9.785034652883825,9.758175376096343,0.02685927678748179,55244.0,0.5485408675112389,0.02707878224494542,0.8853281081905567,False
baseline_only,cd4_t_cell,331,325,29.633821633005223,29.530535110403818,0.10328652260140458,54414.0,0.7964495929763914,0.011647687659772199,0.8853281081905567,False
baseline_only,nk_cell,331,325,14.997332404211535,14.890453979521677,0.10687842468985842,53437.0,0.8853281081905569,-0.006516383918196644,0.8853281081905567,False
on_treatment,cd4_t_cell,331,325,30.880327361164127,29.79720268883846,1.083124672325667,61481.0,0.0015248209519789849,0.14303509179642115,0.007624104759894924,True
on_treatment,b_cell,331,325,9.587444317104847,9.88203805985593,-0.29459374275108274,48374.0,0.025718334103013548,-0.10064606088775274,0.06429583525753386,False
on_treatment,nk_cell,331,325,14.41307322428931,14.929146591534268,-0.5160733672449584,49160.0,0.05657685897048267,-0.08603300023239602,0.09429476495080445,False
on_treatment,monocyte,331,325,19.727153276023067,19.85299505697138,-0.12584178094831344,52567.0,0.6151725999567033,-0.022691145712293803,0.7689657499458791,False
on_treatment,cd8_t_cell,331,325,24.908536202770982,24.793646424796556,0.11488977797442601,53706.0,0.973374564798982,-0.0015152219381826537,0.9733745647989821,False
change_from_baseline,b_cell,331,325,-0.9975909331577988,0.14746413219541665,-1.1450550653532154,47142.0,0.006179772200717887,-0.12355101092261211,0.030898861003589434,True
change_from_baseline,cd4_t_cell,331,325,1.1587421160273905,0.07684996886429474,1.0818921471630958,57678.0,0.10896045552122534,0.07233093190797124,0.2724011388030633,False
change_from_baseline,nk_cell,331,325,-0.6000034955220279,-0.52691794260015,-0.0730855529218779,52306.0,0.541696649061832,-0.027543574250522895,0.7224479931263318,False
change_from_baseline,monocyte,331,325,-0.36165141471059314,-0.22404225058413374,-0.1376091641264594,55046.0,0.6042059346043192,0.023397629560771627,0.7224479931263318,False
change_from_baseline,cd8_t_cell,331,325,-0.03521051468213443,-0.20308625035573513,0.1678757356736007,54650.0,0.7224479931263318,0.016035324192423817,0.7224479931263318,False
day_0,monocyte,331,325,19.6055804178746,20.286002186823318,-0.6804217689487189,50754.0,0.21138928177193006,-0.05639786195677432,0.8853281081905567,False
day_0,cd8_t_cell,331,325,24.39568761084873,24.60102813964531,-0.20534052879658304,52203.0,0.5139556861462278,-0.02945851731350224,0.8853281081905567,False
day_0,b_cell,331,325,9.785034652883825,9.758175376096343,0.02685927678748179,55244.0,0.5485408675112389,0.02707878224494542,0.8853281081905567,False
day_0,cd4_t_cell,331,325,29.633821633005223,29.530535110403818,0.10328652260140458,54414.0,0.7964495929763914,0.011647687659772199,0.8853281081905567,False
day_0,nk_cell,331,325,14.997332404211535,14.890453979521677,0.10687842468985842,53437.0,0.8853281081905569,-0.006516383918196644,0.8853281081905567,False
day_7,cd4_t_cell,331,325,30.445659590036684,29.54763079244407,0.8980287975926124,59064.0,0.02970607205457185,0.09809900069718802,0.14853036027285926,False
day_7,nk_cell,331,325,14.419799388594255,14.795928490644656,-0.37612910205040073,50185.0,0.13775265937433018,-0.06697652800371834,0.23977462469615637,False
day_7,b_cell,331,325,9.233417466902628,9.96574061312489,-0.7323231462222619,50240.0,0.14386477481769383,-0.06595398559144783,0.23977462469615637,False
day_7,monocyte,331,325,19.596890913964085,20.03212228622065,-0.4352313722565633,52089.0,0.48413674295382414,-0.0315779688589356,0.6051709286922802,False
day_7,cd8_t_cell,331,325,24.696417585537837,24.772727272727273,-0.0763096871894362,52644.0,0.637658094967041,-0.021259586335115044,0.637658094967041,False
day_14,b_cell,331,325,9.107291903786328,9.837048983645893,-0.7297570798595654,47849.0,0.014414435042203693,-0.11040669300488026,0.07207217521101847,False
day_14,cd4_t_cell,331,325,30.790936388610856,30.069868027059997,0.7210683615508593,58102.0,0.07547067704462711,0.08021380432256575,0.18867669261156778,False
day_14,nk_cell,331,325,14.35279940320205,14.653386282211766,-0.3005868790097157,51347.0,0.3147007071269343,-0.04537299558447594,0.5245011785448905,False
day_14,monocyte,331,325,19.623260270454477,19.74962832087221,-0.12636805041773158,52676.0,0.6471033071525258,-0.020664652567975783,0.7407366897157915,False
day_14,cd8_t_cell,331,325,25.077472448539822,24.5581237253569,0.5193487231829224,54591.0,0.7407366897157915,0.014938415059261079,0.7407366897157915,False
